Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-02,148.945,152.17,145,145.03,144.1747,93604625
2022-11-03,142.06,142.8,138.75,138.88,138.061,97918523
2022-11-04,142.09,142.67,134.38,138.38,137.7921,140814797
2022-11-07,137.11,139.145,135.671,138.92,138.3298,83374633
2022-11-08,140.41,141.43,137.49,139.5,138.9074,89908477
2022-11-09,138.5,138.55,134.5933,134.87,134.297,74917789
2022-11-10,141.24,146.87,139.5,146.87,146.2461,118854000
2022-11-11,145.82,150.01,144.37,149.7,149.064,93979672
2022-11-14,148.97,150.28,147.43,148.28,147.6501,73374109
2022-11-15,152.215,153.59,148.5613,150.04,149.4026,89868328
2022-11-16,149.13,149.87,147.29,148.79,148.1579,64218273
2022-11-17,146.43,151.48,146.15,150.72,150.0797,80389398
2022-11-18,152.305,152.7,149.97,151.29,150.6473,74829570
2022-11-21,150.16,150.37,147.715,148.01,147.3812,58724070
2022-11-22,148.13,150.42,146.925,150.18,149.542,51804129
2022-11-23,149.45,151.83,149.34,151.07,150.4282,58301398
2022-11-25,148.305,148.88,147.12,148.11,147.4808,35195859
2022-11-28,145.14,146.64,143.38,144.22,143.6073,69346523
2022-11-29,144.29,144.81,140.355,141.17,140.5703,83763797
2022-11-30,141.395,148.72,140.55,148.03,147.4011,111380898
2022-12-01,148.21,149.13,146.61,148.31,147.6799,71250414
2022-12-02,145.96,148,145.65,147.81,147.1821,65447449
2022-12-05,147.77,150.9199,145.77,146.63,146.0071,68826438
2022-12-06,147.075,147.3,141.92,142.91,142.3029,64727191
2022-12-07,142.19,143.37,140,140.94,140.3412,69721086
2022-12-08,142.36,143.52,141.1,142.65,142.044,62128340
2022-12-09,142.34,145.57,140.9,142.16,141.5561,76097008
2022-12-12,142.7,144.5,141.06,144.49,143.8762,70462648
2022-12-13,149.5,149.9692,144.24,145.47,144.852,93886156
2022-12-14,145.35,146.655,141.16,143.21,142.6016,82291188
2022-12-15,141.11,141.8,136.025,136.5,135.9201,98931914
2022-12-16,136.685,137.65,133.73,134.51,133.9386,160156891
2022-12-19,135.11,135.2,131.32,132.37,131.8077,79592609
2022-12-20,131.39,133.25,129.89,132.3,131.7379,77432812
2022-12-21,132.98,136.81,132.75,135.45,134.8746,85927992
2022-12-22,134.352,134.56,130.3,132.23,131.6682,77852109
2022-12-23,130.92,132.415,129.64,131.86,131.2998,63814887
2022-12-27,131.38,131.41,128.72,130.03,129.4776,69007828
2022-12-28,129.67,131.0275,125.87,126.04,125.5045,85438391
2022-12-29,127.99,130.4814,127.73,129.61,129.0594,75703711
2022-12-30,128.41,129.95,127.43,129.93,129.378,77034211
2023-01-03,130.28,130.9,124.17,125.07,124.5387,112117508
2023-01-04,126.89,128.6557,125.08,126.36,125.8232,89113633
2023-01-05,127.13,127.77,124.76,125.02,124.4889,80962711
2023-01-06,126.01,130.29,124.89,129.62,129.0693,87754719
2023-01-09,130.465,133.41,129.89,130.15,129.5971,70790805
2023-01-10,130.26,131.2636,128.12,130.73,130.1746,63896160
2023-01-11,131.25,133.51,130.46,133.49,132.9229,69458953
2023-01-12,133.88,134.26,131.44,133.41,132.8432,71379648
2023-01-13,132.03,134.92,131.66,134.76,134.1875,57809719
2023-01-17,134.83,137.29,134.13,135.94,135.3625,63646633
2023-01-18,136.815,138.61,135.03,135.21,134.6356,69672797
2023-01-19,134.08,136.25,133.77,135.27,134.6953,58280406
2023-01-20,135.28,138.02,134.22,137.87,137.2843,80223633
2023-01-23,138.12,143.315,137.9,141.11,140.5105,81760312
2023-01-24,140.305,143.16,140.3,142.53,141.9245,66435141
2023-01-25,140.89,142.43,138.81,141.86,141.2573,65799352
2023-01-26,143.17,144.25,141.9,143.96,143.3484,54105070
2023-01-27,143.155,147.23,143.08,145.93,145.31,70555844
2023-01-30,144.955,145.55,142.85,143,142.3925,64015273
2023-01-31,142.7,144.34,142.28,144.29,143.677,65874461
2023-02-01,143.97,146.61,141.32,145.43,144.8122,77663633
2023-02-02,148.9,151.18,148.17,150.82,150.1793,118339000
2023-02-03,148.03,157.38,147.83,154.5,153.8436,154357297
2023-02-06,152.575,153.1,150.78,151.73,151.0854,69858312
2023-02-07,150.64,155.23,150.64,154.65,153.993,83322555
2023-02-08,153.88,154.58,151.168,151.92,151.2746,64120078
2023-02-09,153.775,154.33,150.42,150.87,150.2291,56007141
2023-02-10,149.46,151.3401,149.22,151.01,150.598,57450711
2023-02-13,150.952,154.26,150.92,153.85,153.4303,62199008
2023-02-14,152.12,153.77,150.86,153.2,152.7821,61707566
2023-02-15,153.11,155.5,152.88,155.33,154.9063,65669250
2023-02-16,153.51,156.33,153.3475,153.71,153.2907,68167938
2023-02-17,152.35,153,150.85,152.55,152.1338,59144121
2023-02-21,150.2,151.3,148.405,148.48,148.075,58867230
2023-02-22,148.87,149.95,147.16,148.91,148.5038,51011312
2023-02-23,150.09,150.34,147.24,149.4,148.9924,48394246
2023-02-24,147.11,147.19,145.7202,146.71,146.3098,55469609
2023-02-27,147.71,149.17,147.45,147.92,147.5165,44998473
2023-02-28,147.05,149.08,146.83,147.41,147.0079,50547000
2023-03-01,146.83,147.2285,145.01,145.31,144.9136,55478992
2023-03-02,144.38,146.71,143.9,145.91,145.512,52279762
2023-03-03,148.045,151.11,147.33,151.03,150.618,70732305
2023-03-06,153.785,156.3,153.46,153.83,153.4104,87558031
2023-03-07,153.7,154.0299,151.13,151.6,151.1864,56182031
2023-03-08,152.81,153.47,151.83,152.87,152.453,47204793
2023-03-09,153.559,154.535,150.225,150.59,150.1792,53833578
2023-03-10,150.21,150.94,147.6096,148.5,148.0949,68572398
2023-03-13,147.805,153.14,147.7,150.47,150.0595,84457117
2023-03-14,151.28,153.4,150.1,152.59,152.1737,73695891
2023-03-15,151.19,153.245,149.92,152.99,152.5726,77167875
2023-03-16,152.16,156.46,151.64,155.85,155.4248,76254414
2023-03-17,156.08,156.74,154.28,155,154.5772,98944633
2023-03-20,155.07,157.82,154.15,157.4,156.9706,73641422
2023-03-21,157.32,159.4,156.54,159.28,158.8455,73938289
2023-03-22,159.3,162.14,157.81,157.83,157.3994,75701805
2023-03-23,158.83,161.5501,157.68,158.93,158.4964,67622062
2023-03-24,158.86,160.34,157.85,160.25,159.8128,59256340
2023-03-27,159.94,160.77,157.87,158.28,157.8482,52390273
2023-03-28,157.97,158.49,155.98,157.65,157.2199,45992152
2023-03-29,159.37,161.05,159.35,160.77,160.3314,51305688
2023-03-30,161.53,162.47,161.271,162.36,161.9171,49501688
2023-03-31,162.44,165,161.91,164.9,164.4502,68749789
2023-04-03,164.27,166.29,164.22,166.17,165.7167,56976191
2023-04-04,166.595,166.84,165.11,165.63,165.1782,46278301
2023-04-05,164.74,165.05,161.8,163.76,163.3133,51511738
2023-04-06,162.43,164.9584,162,164.66,164.2108,45390121
2023-04-10,161.42,162.03,160.08,162.03,161.588,47716879
2023-04-11,162.35,162.36,160.51,160.8,160.3613,47644219
2023-04-12,161.22,162.06,159.78,160.1,159.6633,50133059
2023-04-13,161.63,165.8,161.42,165.56,165.1084,68445648
2023-04-14,164.59,166.32,163.82,165.21,164.7593,49386480
2023-04-17,165.09,165.39,164.03,165.23,164.7793,41516219
2023-04-18,166.1,167.41,165.65,166.47,166.0159,49923008
2023-04-19,165.8,168.16,165.54,167.63,167.1727,47720168
2023-04-20,166.09,167.87,165.56,166.65,166.1954,52456379
2023-04-21,165.05,166.4521,164.49,165.02,164.5698,58337340
2023-04-24,165,165.6,163.89,165.33,164.879,41949578
2023-04-25,165.19,166.305,163.73,163.77,163.3232,48714059
2023-04-26,163.055,165.28,162.8,163.76,163.3133,45498801
2023-04-27,165.19,168.56,165.19,168.41,167.9506,64902328
2023-04-28,168.49,169.85,167.8801,169.68,169.2171,55275848
2023-05-01,169.28,170.45,168.64,169.59,169.1274,52472941
2023-05-02,170.09,170.35,167.54,168.54,168.0802,48425699
2023-05-03,169.5,170.92,167.16,167.45,166.9932,65136020
2023-05-04,164.89,167.04,164.31,165.79,165.3377,81235430
2023-05-05,170.975,174.3,170.76,173.57,173.0965,113453203
2023-05-08,172.48,173.85,172.11,173.5,173.0267,55962793
2023-05-09,173.05,173.54,171.6,171.77,171.3014,45326871
2023-05-10,173.02,174.03,171.9,173.555,173.0815,53724500
2023-05-11,173.85,174.59,172.17,173.75,173.276,49514680
2023-05-12,173.62,174.06,171,172.57,172.3373,45533141
2023-05-15,173.16,173.21,171.47,172.07,171.838,37266660
2023-05-16,171.99,173.1383,171.7991,172.07,171.838,42110289
2023-05-17,171.71,172.925,170.4201,172.69,172.4571,57951602
2023-05-18,173,175.24,172.58,175.05,174.8139,65496660
2023-05-19,176.39,176.39,174.94,175.16,174.9238,55809480
2023-05-22,173.98,174.71,173.45,174.2,173.9651,43570930
2023-05-23,173.13,173.3794,171.275,171.56,171.3286,50747262
2023-05-24,171.09,172.4183,170.52,171.84,171.6083,45143488
