Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-02,138.5,142.1,132.1124,132.19,132.1092,67262781
2022-11-03,130.43,137.81,129.56,134.21,134.128,50006488
2022-11-04,139.86,142.29,136.97,141.56,141.4735,61257594
2022-11-07,142.28,144.12,139.54,143.01,142.9226,41006102
2022-11-08,148.01,148.9101,142.16,146.02,145.9307,59529199
2022-11-09,141.615,142.11,137.5901,137.76,137.6758,45441367
2022-11-10,148,157.73,145.47,157.5,157.4037,70081930
2022-11-11,158.075,163.89,154.82,163.27,163.1702,65548750
2022-11-14,162.18,165.4,159.22,162.95,162.8504,52785246
2022-11-15,167.215,169.98,163.82,166.66,166.5581,54587551
2022-11-16,161.615,163.62,158.73,159.1,159.0027,64954680
2022-11-17,157.15,162.66,155.35,156.77,156.6742,71089359
2022-11-18,159.66,160.02,151.2001,154.09,153.9958,49207168
2022-11-21,151.47,154.77,150.8,153.17,153.0764,40473930
2022-11-22,153.28,160.5757,151.216,160.38,160.282,47286609
2022-11-23,160.98,165.27,160.4801,165.19,165.089,42724090
2022-11-25,163.18,164.87,161.72,162.7,162.6005,16793430
2022-11-28,160.26,163.57,157.25,158.27,158.1732,30415199
2022-11-29,158.27,159.32,155.2,156.39,156.2944,29838449
2022-11-30,156.97,169.3,155.97,169.23,169.1698,56529820
2022-12-01,169.99,172.65,166.35,171.35,171.2891,47097660
2022-12-02,166.59,169.3257,164.45,168.76,168.7,37138859
2022-12-05,166.79,169.95,164.7201,166.1,166.0409,35225520
2022-12-06,165.3,165.73,158.19,159.87,159.8131,35269434
2022-12-07,157.72,161.86,156.67,161.2,161.1427,37238762
2022-12-08,162.73,171.79,159.59,171.69,171.6289,51545551
2022-12-09,171.6,175.83,169.75,170.01,169.9495,46533820
2022-12-12,170.37,175.38,167.97,175.35,175.2876,45732781
2022-12-13,185.31,187.9,177.11,180.72,180.6557,65658883
2022-12-14,179.87,182.52,174.2,176.74,176.6771,49688809
2022-12-15,171.46,173.2,167,169.52,169.4597,47854207
2022-12-16,168.642,170.41,164.1,165.71,165.6511,47823191
2022-12-19,165.72,166.09,161.45,162.54,162.4822,35403879
2022-12-20,160.64,163.1,158.52,160.85,160.7928,40325980
2022-12-21,161.14,166.27,161.02,165.01,164.9513,32502539
2022-12-22,160.935,161.38,148.82,153.39,153.3354,56504527
2022-12-23,151.96,153.39,148.83,152.06,152.0059,34932559
